LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,γ rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/frame),(µm/frame),(µm),(frame),(µm),(µm),(µm),
ID173744 → ID174389,8548,173744,174389,18.15295615778853,NaN,3.9733952211569434,3.9733952211569434,293.5,966.814797591685,1256.2511081641806,0.0,
ID173111 → ID173759,8549,173111,173759,280.1374406412696,NaN,14.553324413588774,14.553324413588774,293.5,253.03756407009837,904.3851719490216,0.0,
ID173175 → ID173951,8550,173175,173951,23.18374944817188,NaN,4.005163468124792,4.005163468124792,293.5,513.6972902674333,863.1472863782362,0.0,
ID176180 → ID175800,8551,176180,175800,217.67114543246788,NaN,14.336125386258214,14.336125386258214,293.5,1273.070656781992,1453.3453702730526,0.0,
ID173813 → ID174411,8552,173813,174411,146.42690640719223,NaN,8.671237930919313,8.671237930919313,293.5,563.5806962551577,1283.0891980558056,0.0,
ID174411 → ID176500,8552,174411,176500,9.597537520762865,0.31580951171395216,7.559675525405136,7.559675525405136,294.5,555.6323015928456,1282.058306120235,0.0,
ID176245 → ID175809,8553,176245,175809,31.68347522436968,NaN,5.300915914097666,5.300915914097666,293.5,495.6056313166023,1467.6593945831096,0.0,
ID173753 → ID174406,8554,173753,174406,670.2929860195792,NaN,15.897378927945839,15.897378927945839,293.5,631.6245168288107,1268.6719193346698,0.0,
ID175097 → ID176274,8555,175097,176274,5.023448764830876,1.1840049531849688,1.9155634818129443,1.9155634818129443,297.5,1114.1278828810619,593.493640452125,0.0,
ID178416 → ID178148,8555,178416,178148,36.63290925845536,2.732278999586722,4.89903158510117,4.89903158510117,302.5,1112.3082175795585,594.2569305456443,0.0,
