LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. γ rate
,,,,,,,,,(frame),(frame),(frame),( ),( ),( ),( ),( /frame),( /frame),( /frame),( /frame),( /frame),(quality),( ),( ),,( /frame),,(rad/frame)
Track_1015,7,7,89,2,0,0,0,4,93.0,0.0,93.0,8.902283051748418,305.5843610720997,310.30712369405614,0.0,0.9480420909591724,3.346937224913207,0.03392201819814218,0.6376023385442167,0.8971382295786192,561.0674157303371,84.68658846215735,8.902283051748418,0.10512034093481579,0.09572347367471416,0.10096964532225237,1.8663130764920386
Track_1016,8,8,85,0,0,0,0,0,84.0,0.0,84.0,11.820914532782819,329.4722633540887,247.93902890552337,0.0,0.8974755326476975,5.6421843945084955,0.05268934673227592,0.5840887932830563,1.049813750753415,637.6705882352941,75.3879447424066,11.820914532782819,0.1568011248107871,0.14072517300931928,0.15680112481078712,1.7075350086612042
Track_1017,9,9,19,0,0,0,0,0,18.0,0.0,18.0,3.684837167993453,345.08444942614665,281.8550455112374,0.0,0.5381890070819122,1.7266177316305034,0.03514209423038045,0.5330105968830925,0.45298687113100833,496.94736842105266,9.687402127474419,3.8367246238398236,0.38037413121758357,0.20471317599963626,0.3803741312175835,1.7723449596831278
Track_1018,10,10,6,0,0,0,0,0,5.0,0.0,5.0,4.245228622019475,358.3846859076851,398.8344907265628,0.0,1.6902280742715599,4.436625843951807,0.5974708388304323,1.2037692470873804,1.5576430826980787,2844.5,8.4511403713578,4.76513969657065,0.502326128247402,0.849045724403895,0.5023261282474021,2.248363075701845
Track_1019,11,11,41,0,0,0,0,0,40.0,0.0,40.0,2.8919681877659604,391.84340300513605,357.5610534899099,0.0,0.47561549827082544,1.3601129274442105,0.06491627908761341,0.45111012456509053,0.335498967325152,311.4146341463415,19.024619930833012,3.3734030609433288,0.15201187715077433,0.07229920469414901,0.15201187715077427,1.825497630697733
Track_1020,12,12,42,0,0,0,0,0,41.0,0.0,41.0,4.8306490404282965,275.223911999591,279.63222666739864,0.0,1.1258012730942917,5.739988447199289,0.02004712667174369,0.3788870980272654,1.3747860547081154,797.8809523809524,46.15785219686595,5.1359194546888185,0.10465497874175979,0.11782070830312918,0.10465497874175977,1.6695401218990924
Track_1021,13,13,62,3,0,0,0,3,66.0,0.0,66.0,12.62960053065007,172.10644524059998,427.44678552964626,0.0,0.7497973775848797,4.27407271988812,0.03367379749809103,0.3907787068740912,0.7703411590129632,320.0967741935484,49.62922889850129,12.62960053065007,0.25447908039190714,0.19135758379772833,0.25521239406584345,1.718859995530138
Track_1022,14,14,119,0,0,0,0,0,118.0,0.0,118.0,20.605834859120847,299.4009113401513,222.88672636874628,0.0,0.4321895811959133,1.7010905602539002,0.04222586369645673,0.3048828555090245,0.35057514084142816,580.6386554621848,50.99837058111777,20.605834859120847,0.40404888674522066,0.17462571914509192,0.4040488867452207,1.6105168410477206
Track_1023,15,15,65,1,0,0,0,1,65.0,0.0,65.0,12.980758881499598,168.80854415003185,246.13657135019216,0.0,0.5506911843424538,2.2167311943628967,0.025835007791485985,0.3613964476978465,0.5142414669661433,722.0,35.409592817224286,13.457097131319069,0.36658876447699135,0.1997039827923015,0.3626424182380106,1.589844185587707
Track_1024,16,16,40,1,0,0,0,2,41.0,0.0,41.0,2.473515572530522,178.0393048088757,291.8450372216137,0.0,0.9933938338471116,6.832054301356766,0.04889198107664148,0.38505382827498,1.5033989536222974,491.325,39.526984296998144,4.390966349209973,0.06257789751793363,0.06032964811050054,0.06073084617091109,1.953146564189682
