LABEL,TRACK_ID,N_PREDECESSORS,N_SUCCESSORS,DELTA_T,DISTANCE,MEAN_VELOCITY,TOTAL_DISTANCE,FIRST,LAST,MEAN_SUCCESSORS_DELAY,MEAN_PREDECESSORS_DELAY
Label,Track ID,Track ID,Track ID,Branch duration,Distance traveled,Mean velocity,Total distance,First spot ID,Last spot ID,Mean successors delay,Mean predecessors delay
Label,Track ID,N predecessors,N successors,Delta T,Dist,Mean V,Tot Dist,First ID,Last ID,Succ Delay,Pred Delay
,,,,(frame),( ),( /frame),( ),,,(frame),(frame)
Track_1181: ID577309 → ID578058,173,0,0,7.0,0.24877795890415183,0.4158689190149613,2.9110824331047294,577309,578058,0.0,0.0
Track_1180: ID577324 → ID578086,172,0,0,7.0,0.2969343761359998,0.3572143642027088,2.5005005494189616,577324,578086,0.0,0.0
Track_1182: ID577342 → ID577060,174,0,0,1.0,12.269883958491771,12.269883958491771,12.269883958491771,577342,577060,0.0,0.0
Track_1186: ID577421 → ID577733,178,0,0,1.0,17.299647428085258,17.299647428085258,17.299647428085258,577421,577733,0.0,0.0
Track_1187: ID577491 → ID577748,179,0,0,1.0,15.117436443494157,15.117436443494157,15.117436443494157,577491,577748,0.0,0.0
Track_1185: ID577802 → ID584305,177,0,0,43.0,5.879837093953114,0.6660831281667416,28.641574511169893,577802,584305,0.0,0.0
Track_1188: ID577901 → ID578054,180,0,0,1.0,2.0715499600578164,2.0715499600578164,2.0715499600578164,577901,578054,0.0,0.0
Track_1190: ID578185 → ID580032,182,0,0,8.0,2.081425970088002,0.6533531199073555,5.226824959258844,578185,580032,0.0,0.0
Track_1191: ID578362 → ID579775,183,0,0,7.0,0.8417535612103013,0.5964829916996505,4.175380941897553,578362,579775,0.0,0.0
Track_1193: ID578428 → ID578985,185,0,0,3.0,1.5492708689765775,1.1836122931453772,3.550836879436132,578428,578985,0.0,0.0
Track_1189: ID578586 → ID578571,181,0,0,2.0,0.4956596255944232,3.7468602658462515,7.493720531692503,578586,578571,0.0,0.0
Track_1192: ID578587 → ID579171,184,0,0,4.0,2.4743787522360896,0.8588534440579167,3.435413776231667,578587,579171,0.0,0.0
Track_1194: ID578825 → ID649559,186,0,0,422.0,103.62667168645281,0.7269357481807593,306.76688573228046,578825,649559,0.0,0.0
Track_1195: ID578874 → ID584366,187,0,0,36.0,2.282747786996409,1.1043132195259178,39.755275902933036,578874,584366,0.0,0.0
Track_1197: ID579136 → ID579483,189,0,0,1.0,0.4434749967063909,0.4434749967063909,0.4434749967063909,579136,579483,0.0,0.0
Track_1198: ID579172 → ID579590,190,0,0,4.0,0.8547943753822624,0.8720263645000053,3.488105458000021,579172,579590,0.0,0.0
