LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,γ rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/frame),( /frame),( ),(frame),( ),( ),( ),
ID688254 → ID689288,339,688254,689288,0.688709026389517,2.5964042152534494,0.3924230090053606,0.3924230090053606,810.5,203.71705327147654,361.82211379512614,0.0,
ID689711 → ID690013,339,689711,690013,4.760557192143925,0.9553940024161894,0.5428701553550896,1.0857403107101793,815.0,204.97836327478362,360.6806597118066,0.0,
ID688922 → ID688564,339,688922,688564,17.06657514999988,0.02325493175920594,1.227511473403254,1.227511473403254,806.5,203.2968260912325,361.82232096529697,0.0,
ID706712 → ID708218,340,706712,708218,3.6391325436818254,2.3169180887052008,0.5934527676585298,0.5934527676585298,917.5,214.69537705019115,427.43028579356275,0.0,
ID706190 → ID706959,340,706190,706959,4.766642925006884,2.851175604113349,0.42061794526373075,0.42061794526373075,915.5,214.90695185264207,427.9640459426783,0.0,
ID708057 → ID707487,340,708057,707487,0.3275200387518538,0.7098065373389687,0.6610887984215222,0.6610887984215222,922.5,215.3154054368706,427.1109571763975,0.0,
ID708218 → ID708057,340,708218,708057,0.2537713422922638,0.7101203237983984,0.17958843276274652,0.7183537310509861,920.0,214.70138303929366,427.31429290093126,0.0,
ID706959 → ID706712,340,706959,706712,2.4910773869767366,2.1155787976203717,0.7244728066239521,0.7244728066239521,916.5,214.83624762322657,427.6615785432207,0.0,
ID706279 → ID706190,340,706279,706190,3.1290919066763063,NaN,1.6762292360342206,1.6762292360342206,914.5,214.35901000121183,428.2936849083638,0.0,
ID711724 → ID711862,341,711724,711862,0.01523286766165432,1.826783765517029,0.08650889152658439,0.08650889152658439,948.5,216.4294707147875,424.68850068785855,0.0,
ID709771 → ID710354,341,709771,710354,0.10692840230439819,NaN,0.2948703549249212,0.2948703549249212,937.5,215.26232537153172,426.59711798773174,0.0,
ID711862 → ID712177,341,711862,712177,0.05075430261933015,2.7726148962197743,0.20051618092637818,0.20051618092637818,949.5,216.3701191669451,424.6708783457698,0.0,
ID712304 → ID712306,341,712304,712306,0.36734271442253985,2.457365663068585,0.4053018128959143,0.4053018128959143,951.5,216.02759094353922,424.6677837248958,0.0,
ID713029 → ID713098,341,713029,713098,0.07425984653765222,1.2980965049198674,0.05904370598344148,0.05904370598344148,956.5,215.3379799461971,424.5319643876137,0.0,
ID712177 → ID712304,341,712177,712304,0.09747419294623008,0.5920907375238437,0.3627435404953198,0.3627435404953198,950.5,216.11607593415837,424.7635427930634,0.0,
ID712306 → ID712754,341,712306,712754,0.0318146927317532,1.5350490905175134,0.24232478410523867,0.24232478410523867,952.5,215.97973053181386,424.43281101614434,0.0,
ID712868 → ID713029,341,712868,713029,0.03955996634956325,1.0358994598662332,0.2504850462220782,0.2504850462220782,955.5,215.45615261168916,424.59967041120944,0.0,
ID711573 → ID711707,341,711573,711707,1.7375487505959286,2.570559421470464,0.7778339679150378,0.7778339679150378,946.5,216.49404369016187,424.63488995786327,0.0,
ID712789 → ID712868,341,712789,712868,0.307956504088762,3.0741261543288294,0.49480887989826833,0.49480887989826833,954.5,215.76045799341634,424.4736434330423,0.0,
ID710354 → ID710598,341,710354,710598,0.2218018541007011,1.9975975683537988,0.2249364135123986,0.2249364135123986,938.5,215.40543623495364,426.5838103240036,0.0,
ID711707 → ID711724,341,711707,711724,0.490004515920881,2.8134635204786793,0.3705861324305709,0.3705861324305709,947.5,216.49187470254031,424.85658259712056,0.0,
ID712754 → ID712789,341,712754,712789,0.04484749583895917,1.9840815356557164,0.11259378037572469,0.11259378037572469,953.5,215.90600127087873,424.34953612926654,0.0,
ID710305 → ID711573,341,710305,711573,3.476321377651232,0.15643377849554155,0.41327947232272555,2.4796768339363533,943.0,216.01697703257173,425.4407942346064,0.0,
ID710598 → ID710305,341,710598,710305,0.05892499594014724,1.4361813299200479,0.19596003385059282,0.19596003385059282,939.5,215.54811505318975,426.6534508334653,0.0,
ID710671 → ID711152,342,710671,711152,2.262844886230147,0.5150401659170253,0.7801858975809225,1.560371795161845,944.0,279.38443441335346,326.1592616080851,0.0,
ID710006 → ID710605,342,710006,710605,0.4132559942829809,1.634569288787028,0.06523104448432587,0.06523104448432587,941.5,279.09688032863744,327.6597982266713,0.0,
ID710605 → ID710671,342,710605,710671,1.2132187604555495,0.8753617630503613,0.9630571007736046,0.9630571007736046,942.5,278.9504034465368,327.17854629723934,0.0,
ID710440 → ID709797,342,710440,709797,0.21550972247915162,NaN,0.46206813164800437,0.46206813164800437,939.5,278.96632375021613,328.1373268159268,0.0,
ID709797 → ID710006,342,709797,710006,1.3231153914616174,2.749274459298164,0.6956290451305367,0.6956290451305367,940.5,278.95538052035715,327.97692690532426,0.0,
ID714903 → ID715199,343,714903,715199,4.0575855113042145,3.0479689910039385,1.4081356573945314,1.4081356573945314,971.5,297.92365629036726,289.8242429003639,0.0,
ID711886 → ID711959,343,711886,711959,0.7781163091628889,1.6889808805681317,0.8165872286227834,0.8165872286227834,950.5,299.689058458239,292.74298854604217,0.0,
ID712016 → ID712364,343,712016,712364,0.4561987119349278,2.09097782219135,0.3711697847267377,0.3711697847267377,952.5,299.3001977759849,292.736841742862,0.0,
ID712441 → ID712500,343,712441,712500,0.1308127959575365,2.324448062559979,0.28446390295585994,0.28446390295585994,954.5,299.54409964989816,292.5000845865658,0.0,
ID712364 → ID712441,343,712364,712441,0.0678245222075439,0.6709291845813994,0.21185497756082328,0.21185497756082328,953.5,299.5427865768565,292.604146826504,0.0,
ID714601 → ID714548,343,714601,714548,0.02670608132614596,0.4319868139548897,0.31437322522731875,0.31437322522731875,966.5,298.25703028092164,290.7641608258,0.0,
ID711126 → ID711220,343,711126,711220,0.18574456125124303,1.1447171717186804,0.4611503013580853,0.4611503013580853,947.5,300.6636888164761,293.305177043483,0.0,
ID712750 → ID712910,343,712750,712910,1.9192760869080714,1.8316213566959103,1.323470990700249,1.323470990700249,956.5,299.45634960175903,291.7638368924963,0.0,
ID713660 → ID713809,343,713660,713809,0.4059482600163237,1.9517577004103919,0.5165055065250845,0.5165055065250845,962.5,298.2106029712708,291.7833112093143,0.0,
ID715199 → ID715225,343,715199,715225,2.059948881607289,2.90280003904963,1.015970442299051,1.015970442299051,972.5,297.8483805072829,290.0546326827058,0.0,
ID711672 → ID711886,343,711672,711886,0.28601762412110576,1.406388592710532,0.5874201080902165,0.5874201080902165,949.5,300.1497316763883,292.8546578271373,0.0,
